date,dp,term,def,ypl,tb30,CRSP_SPvwx,realgnpg,mktrf,Rfree,AAA,BAA,vwretx,ewretx,corpr
2011-12-31,2.10122455470738,3.92,2.895886507223624,0.0325214480784399,0.0001,0.007613,0.0154307587160651,0.0086466868949504,0.0,0.0393,0.0525,0.0021719973655955,-0.0436819325090159,0.0512
2012-01-31,2.037038730274838,3.82,3.063381297771386,0.0278751638882686,0.0003,0.044003,0.0154307587160651,0.0420311524096739,0.0,0.0385,0.0523,0.0117069154616311,-0.0231487904269081,0.0194
2012-02-29,1.980236951555269,3.76,2.8897993116738085,0.0362398602057509,0.0009,0.040744,0.0263806931088623,0.039230498343751,0.0,0.0385,0.0514,0.0576394234313991,0.0664291800467653,0.0057
2012-03-31,1.942036394101401,3.91,2.706200471750595,0.0441205252008216,0.0008,0.031282,0.0263806931088623,0.0304768777394537,0.0,0.0399,0.0523,0.0488787927931503,0.0134090961788406,-0.0303
2012-04-30,1.979762645663884,3.88,2.7048967191140827,0.0277702113170605,0.0008,-0.007237,0.0263806931088623,-0.0071557377426527,0.0,0.0396,0.0519,0.0347391347609169,0.0059370938393553,0.0251
2012-05-31,2.136690757290149,3.71,2.8833975087075148,0.0388852406502762,0.0009,-0.062433,0.0240333583913792,-0.0632616117274524,0.0001,0.038,0.0507,-0.0049178729282625,-0.0370034942738157,0.0344
2012-06-30,2.0790509191284428,3.5500000000000003,3.214462520549888,0.0395382687744927,0.0009,0.039888,0.0240333583913792,0.0382281617667734,0.0,0.0364,0.0502,-0.0555890038597599,-0.0937324179921773,0.0064
2012-07-31,2.08387466287736,3.3000000000000003,3.5931850547238264,0.0366753963722279,0.001,0.013096,0.0240333583913792,0.0125662028385731,0.0,0.034,0.0487,0.0426596649183465,0.0149016101073579,0.0612
2012-08-31,2.073589842028182,3.38,3.442416480200463,0.0338553820331855,0.001,0.019938,0.0257371231448804,0.0193698531973458,0.0001,0.0348,0.0491,0.0126842230029663,-0.0361875097061909,-0.0093
2012-09-30,2.053905474536153,3.3800000000000003,3.270129845142047,0.0232310411801015,0.0011,0.023547,0.0257371231448804,0.023654198589484,0.0001,0.0349,0.0484,0.0295869201666803,0.0025799694576092,-0.0126
2012-10-31,2.1344819283933827,3.37,2.775444041673256,0.023258383572859,0.001,-0.019227,0.0257371231448804,-0.0192985946182631,0.0001,0.0347,0.0458,0.0299871536986052,0.0150343610156043,0.0206
2012-11-30,2.167422220339222,3.4100000000000006,2.5353418501921876,0.019333823793739,0.0009,0.002154,0.0155185200733247,0.0030651305529794,0.0001,0.035,0.0451,-0.0131676050155477,-0.0467200461049284,-0.0092
2012-12-31,2.1909352891269744,3.58,2.3782970050374264,0.0234368223652516,0.0007,0.005902,0.0155185200733247,0.0071735681599909,0.0001,0.0365,0.0463,0.0115050878128261,-0.021121318544102,-0.0062
2013-01-31,2.1050056404402886,3.73,2.189241357715015,0.020839180903551,0.0007,0.051024,0.0155185200733247,0.0483565334673761,0.0,0.038,0.0473,0.0147637163266477,-7.105800588078041e-05,-0.0313
2013-02-28,2.101011434758497,3.8,2.1800215181379112,0.0147129025925045,0.001,0.010511,0.0170086848570942,0.0109607625150882,0.0,0.039,0.0485,0.0601850759694255,0.0461081346359743,0.0093
2013-03-31,2.046399734895073,3.84,2.1033927906822214,0.0162457941066511,0.0009,0.036025,0.0170086848570942,0.034820344904201,0.0,0.0393,0.0485,0.0159137253577724,-0.0147028256905336,-0.0018
2013-04-30,2.0341330896298757,3.67,2.074717904167298,0.0257464652833208,0.0006,0.018482,0.0170086848570942,0.0178039483453291,0.0,0.0373,0.0459,0.0429957998883956,0.0184320319806503,0.0349
2013-05-31,2.016354538430406,3.85,1.9551604487348673,0.0171808802580215,0.0004,0.020441,0.01519938204107,0.0203759183560032,0.0,0.0389,0.0473,0.0194851695015544,-0.0280576164199192,-0.0536
2013-06-30,2.071015016061957,4.22,1.951198699372645,0.0161193533794326,0.0005,-0.015262,0.01519938204107,-0.0145772953618772,0.0,0.0427,0.0519,0.0330042024530479,0.0184044642473118,-0.0371
2013-07-31,1.9959008856697096,4.300000000000001,2.0359895524123983,0.0179135738015649,0.0004,0.049287,0.01519938204107,0.0475415862790189,0.0,0.0434,0.0532,-0.0088969557756453,-0.0273278842841765,0.0031
2013-08-31,2.083608394520414,4.500000000000001,1.771688033982981,0.0126274154947887,0.0004,-0.031638,0.0223702249329551,-0.0309387191005283,0.0,0.0454,0.0542,0.0608467133317251,0.0452030486951842,-0.0074
2013-09-30,2.0459635455383425,4.62,1.6456425019572585,0.0226070102491005,0.0002,0.030064,0.0223702249329551,0.0289467115035648,0.0,0.0464,0.0547,-0.0238335908918833,-0.046060735737352,0.0014
2013-10-31,1.969781502271511,4.48,1.5886989575890498,0.0288034653012239,0.0005,0.044953,0.0223702249329551,0.0428831527414086,0.0,0.0453,0.0531,0.041111811481102,0.0284176217158176,0.0211
2013-11-30,1.9268915334392875,4.5600000000000005,1.5013150607555037,0.0243770664069506,0.0007,0.028398,0.0300914496017463,0.0272425765794421,0.0,0.0463,0.0538,0.0458097555298137,-0.0025166832797427,-0.0086
2013-12-31,1.8931377004479648,4.55,1.5229366908004582,0.0227918802458799,0.0007,0.024196,0.0300914496017463,0.022958302721654,0.0,0.0462,0.0538,0.034819081436389,0.0118984803212851,0.0002
